NOWA WIEŚ WROCŁAWSKA CHOMICZA 55080;Nowa Wieś Wrocławska;Chomicza;Chomicza
wrocławwrocławśródmieściejednościnarodowej;Wrocław;Jedności Narodowej;50900
bielawy wroclawskie logistyczna;Bielany Wrocławskie;Logistyiczna;55040wrocław stefana 50305;Wrocław;Jaracza;50305
bielany wrocławskie  55040;Bielany Wrocławskie;;55040
bielany wrocławskie  55040;Bielany Wrocławskie;;Bielany Wrocławskie
wrocław stefana 50305;Wrocław;Jaracza;50305
wrocław wrocławśródmieście jedności narodowej 50302 35,2941176470588;Wrocław;Jedności Narodowej;50302
bielany wrocławskie  55040;Bielany Wrocławskie;;55040
  55040;;;55040
wrocław gen fieldorfa 54049;Wrocław;Fieldorfa;54049
  50449;;;50449
wrocław pl powstańców warszawy 50153;Wrocław;Powstańców Warszawy;50153
wrocław stzregomska 24 53611;Wrocław;Strzegomska;53611
  53611;;;
wrołcaw strzegomska 53611;Wrocław;Strzegomska;53611
nowa wieś wrocławska chomicza 55080;Nowa Wieś Wrocławska;Chomicza;55080
nowa wieś wrocławska choicza 55080;Nowa Wieś Wrocławska;Chomicza;55080
nowa wieś wrocławska ryszarda chemicza 55080;Nowa Wieś Wrocławska;Chomicza;Chomicza
nowa wieś wrocławska chomicza 55080;Nowa Wieś Wrocławska;Chomicza;Chomicza
wrocław wrocławkrzyki partynicka 53031;Wrocław;Partynicka;53031
